date,home_team,scroe,away_team
09-01-2021,Reggiana,0 - 2,Cittadella
16-01-2021,Cittadella,1 - 0,Ascoli
23-01-2021,Venezia,1 - 0,Cittadella
27-01-2021,Chievo,2 - 1,Cittadella
31-01-2021,Cittadella,1 - 1,Cremonese
06-02-2021,Brescia,3 - 3,Cittadella
09-02-2021,Cittadella,1 - 1,Nuova Cosenza
13-02-2021,Pordenone,0 - 1,Cittadella
20-02-2021,Cittadella,0 - 3,Reggiana
27-02-2021,Monza,0 - 0,Cittadella
02-03-2021,Cittadella,0 - 1,Pescara
07-03-2021,Empoli,1 - 1,Cittadella
12-03-2021,Cittadella,2 - 0,Pisa
16-03-2021,Cittadella,0 - 0,Salernitana
20-03-2021,Spal,1 - 0,Cittadella
02-04-2021,Vicenza Virtus,1 - 0,Cittadella
05-04-2021,Cittadella,1 - 1,Reggina
10-04-2021,Frosinone,1 - 1,Cittadella
17-04-2021,Cittadella,1 - 0,Chievo
01-05-2021,Lecce,1 - 3,Cittadella
04-05-2021,Cittadella,1 - 0,Virtus Entella
07-05-2021,Ascoli,2 - 0,Cittadella
10-05-2021,Cittadella,1 - 1,Venezia
13-05-2021,Cittadella,1 - 0,Brescia
17-05-2021,Cittadella,3 - 0,Monza
20-05-2021,Monza,2 - 0,Cittadella
23-05-2021,Cittadella,0 - 1,Venezia
27-05-2021,Venezia,1 - 1,Cittadella
27-09-2020,Cremonese,0 - 2,Cittadella
04-10-2020,Pisa,1 - 1,Cremonese
17-10-2020,Cremonese,0 - 0,Venezia
21-10-2020,Lecce,2 - 2,Cremonese
01-11-2020,Frosinone,1 - 0,Cremonese
07-11-2020,Cremonese,0 - 1,Vicenza Virtus
23-11-2020,Salernitana,2 - 1,Cremonese
29-11-2020,Reggiana,1 - 1,Cremonese
05-12-2020,Cremonese,2 - 1,Virtus Entella
08-12-2020,Cremonese,2 - 2,Brescia
12-12-2020,Cremonese,3 - 3,Ascoli
15-12-2020,Empoli,1 - 0,Cremonese
19-12-2020,Cremonese,1 - 0,Nuova Cosenza
22-12-2020,Pordenone,1 - 2,Cremonese
27-12-2020,Cremonese,0 - 2,Monza
30-12-2020,Reggina,1 - 0,Cremonese
04-01-2021,Cremonese,0 - 2,Chievo
17-01-2021,Pescara,0 - 2,Cremonese
24-01-2021,Cremonese,1 - 1,Spal
31-01-2021,Cittadella,1 - 1,Cremonese
06-02-2021,Cremonese,2 - 1,Pisa
09-02-2021,Venezia,3 - 1,Cremonese
13-02-2021,Cremonese,1 - 2,Lecce
20-02-2021,Brescia,1 - 2,Cremonese
27-02-2021,Cremonese,4 - 0,Frosinone
02-03-2021,Vicenza Virtus,3 - 1,Cremonese
06-03-2021,Cremonese,0 - 1,Salernitana
13-03-2021,Cremonese,3 - 0,Reggiana
16-03-2021,Virtus Entella,0 - 2,Cremonese
19-03-2021,Ascoli,0 - 0,Cremonese
05-04-2021,Nuova Cosenza,0 - 1,Cremonese
10-04-2021,Cremonese,2 - 1,Pordenone
13-04-2021,Cremonese,2 - 2,Empoli
17-04-2021,Monza,2 - 1,Cremonese
01-05-2021,Cremonese,1 - 1,Reggina
04-05-2021,Chievo,1 - 1,Cremonese
07-05-2021,Cremonese,3 - 0,Pescara
10-05-2021,Spal,1 - 0,Cremonese
26-09-2020,Frosinone,0 - 2,Empoli
03-10-2020,Empoli,0 - 0,Monza
